ID,IDpartita,IDevento,IDgiocatore,Tempo,Secondi,X,Y
4419,14,10,8,3,578.0091203,0,0
4420,14,4,14,3,579.8645831,15.65420561,5.80952381
4421,14,15,9,3,597.3617617,160,0
4422,14,8,9,3,597.3617617,0,0
4423,14,19,21,4,0,0,0
4424,14,19,8,4,0,0,0
4425,14,19,14,4,0,0,0
4426,14,19,13,4,0,0,0
4427,14,19,9,4,0,0,0
4428,14,18,21,4,0,0,0
4429,14,18,8,4,0,0,0
4430,14,18,14,4,0,0,0
4431,14,18,13,4,0,0,0
4432,14,18,9,4,0,0,0
4433,14,2,13,4,27.15096287,23.48130841,37.61904762
4434,14,15,13,4,27.15096287,157,0
4435,14,0,13,4,27.15096287,0,0
4436,14,2,-1,4,40.42617115,166,0
4437,14,2,21,4,67.03473466,32.8271028,60.47619048
4438,14,4,-1,4,91.07152261,161,0
4439,14,15,14,4,118.0116087,161,0
4440,14,15,13,4,123.7604992,160,0
4441,14,9,9,4,123.7604992,0,0
4442,14,13,14,4,138.9000996,0,0
4444,14,7,8,4,159.6440021,0,0
4445,14,2,14,4,177.3931389,29.08878505,52.95238095
4446,14,8,13,4,205.2242084,0,0
4447,14,3,13,4,206.6818141,16.0046729,56.76190476
4448,14,2,-1,4,210.1957506,164,0
4449,14,5,13,4,225.7581216,13.90186916,94.76190476
4450,14,6,14,4,225.7581216,0,0
4451,14,15,14,4,225.7581216,160,0
4452,14,0,14,4,225.7581216,0,0
4453,14,0,14,4,225.7581216,0,0
4454,14,0,14,4,225.7581216,0,0
4455,14,8,9,4,246.4176748,0,0
4456,14,15,8,4,246.4176748,166,0
4457,14,19,21,4,246.4176748,0,0
4458,14,18,2,4,246.4176748,0,0
4459,14,1,8,4,246.4176748,0,0
4460,14,0,8,4,246.4176748,0,0
4462,14,8,2,4,261.9705787,0,0
4463,14,10,9,4,266.6002323,0,0
4464,14,2,14,4,269.1639035,16.58878505,60.57142857
4465,14,7,8,4,287.6645125,0,0
4466,14,2,8,4,297.0558197,26.40186916,35.52380952
4467,14,13,8,4,307.7197914,0,0
4468,14,0,-1,4,309.9697249,160,0
4469,14,10,8,4,327.3532551,0,0
4470,14,4,9,4,329.2235855,62.61682243,26.28571429
4471,14,4,-1,4,349.450509,160,0
4472,14,9,14,4,369.4698424,0,0
4473,14,13,2,4,369.4698424,0,0
4474,14,2,-1,4,369.4698424,160,0
4475,14,7,9,4,371.2694517,0,0
4476,14,19,14,4,380.9936328,0,0
4477,14,18,21,4,380.9936328,0,0
4478,14,8,8,4,389.0072024,0,0
4479,14,3,8,4,393.1177233,25.81775701,43.61904762
4480,14,5,2,4,397.5026336,36.56542056,8.666666667
4481,14,2,-1,4,405.9449848,161,0
4482,14,5,13,4,423.1025283,43.3411215,91.04761905
4483,14,2,-1,4,444.3719102,158,0
4484,14,5,9,4,475.4062262,12.14953271,6.19047619
4485,14,2,-1,4,481.8639674,164,0
4486,14,19,2,4,499.8342495,0,0
4487,14,18,14,4,499.8342495,0,0
4488,14,5,9,4,513.9511375,21.4953271,96.47619048
4489,14,6,14,4,513.9511375,0,0
4490,14,15,8,4,525.6502738,158,0
4491,14,0,8,4,525.6502738,0,0
4492,14,1,8,4,525.6502738,0,0
4493,14,13,13,4,542.1746009,0,0
4494,14,19,13,4,542.1746009,0,0
4495,14,18,34,4,542.1746009,0,0
4496,14,8,9,4,549.0673021,0,0
4497,14,9,9,4,549.0673021,0,0
4498,14,4,-1,4,569.6404188,157,0
4499,14,3,9,4,574.4521478,28.5046729,74.76190476
4500,14,13,14,4,595.5467697,0,0
4501,14,7,9,4,597.1436414,0,0
4502,14,5,8,4,599,62.61682243,25.52380952
4503,15,18,8,1,0,0,0
4504,15,18,9,1,0,0,0
4505,15,18,14,1,0,0,0
4506,15,18,34,1,0,0,0
4507,15,18,2,1,0,0,0
4508,15,18,2,1,0,0,0
4509,15,18,8,1,0,0,0
4510,15,18,14,1,0,0,0
4511,15,18,34,1,0,0,0
4512,15,18,9,1,0,0,0
4513,15,8,14,1,3.350628668,0,0
4514,15,5,9,1,16.15097674,70.09345794,40.28571429
4515,15,6,2,1,20.24070184,0,0
4516,15,2,2,1,20.24070184,41.82242991,61.71428571
4517,15,2,-1,1,38.61555574,173,0
4518,15,5,14,1,67.10435178,63.55140187,75.23809524
4519,15,7,34,1,76.61782045,0,0
4520,15,4,2,1,89.79058738,66.47196262,63.33333333
4521,15,9,14,1,128.0235264,0,0
4522,15,7,14,1,129.4463444,0,0
4523,15,15,2,1,141.5173495,174,0
4524,15,2,2,1,142.6853244,16.58878505,56.76190476
4525,15,7,8,1,165.2097523,0,0
4526,15,3,8,1,170.2072844,37.5,44.85714286
4527,15,7,14,1,178.5855307,0,0
4528,15,5,9,1,199.914008,10.74766355,6.476190476
4529,15,7,2,1,207.5689739,0,0
4530,15,3,2,1,212.9862928,22.07943925,43.42857143
4531,15,13,8,1,231.298324,0,0
4532,15,8,9,1,238.5869704,0,0
4533,15,3,14,1,248.4829378,25,52
4534,15,13,14,1,252.2999248,0,0
4535,15,2,-1,1,271.4441597,174,0
4536,15,3,8,1,297.4519,13.6682243,68.0952381
4537,15,2,-1,1,308.2736185,174,0
4538,15,3,2,1,331.8395663,54.6728972,48.19047619
4539,15,13,9,1,339.5397524,0,0
4540,15,3,14,1,352.16076,41.23831776,47.23809524
4541,15,2,-1,1,360.0389976,172,0
4542,15,4,34,1,368.4011109,34.92990654,91.23809524
4543,15,2,-1,1,388.7846224,174,0
4544,15,3,2,1,407.9512519,30.49065421,46.19047619
4545,15,7,2,1,420.4027671,0,0
4546,15,3,8,1,430.2630143,16.47196262,24.38095238
4547,15,13,9,1,435.4138218,0,0
4548,15,2,-1,1,435.4138218,172,0
4549,15,0,-1,1,435.4138218,172,0
4550,15,3,14,1,455.2173673,50,27.42857143
4551,15,2,-1,1,461.0608032,172,0
4552,15,3,34,1,485.9252494,15.42056075,59.14285714
4553,15,19,14,1,489.7860569,0,0
4554,15,18,21,1,489.7860569,0,0
4555,15,9,21,1,509.5873901,0,0
4556,15,7,8,1,533.4874025,0,0
4557,15,15,8,1,538.098632,173,0
4558,15,1,8,1,538.098632,0,0
4559,15,0,8,1,538.098632,0,0
4560,15,13,34,1,553.6305724,0,0
4561,15,0,-1,1,553.6305724,170,0
4562,15,0,-1,1,553.6305724,170,0
4563,15,15,2,1,559.0201422,169,0
4564,15,9,2,1,564.2850508,0,0
4565,15,13,34,1,579.6020619,0,0
4566,15,19,2,1,579.6020619,0,0
4567,15,18,4,1,579.6020619,0,0
4568,15,19,34,1,579.6020619,0,0
4569,15,18,14,1,579.6020619,0,0
4570,15,0,-1,1,579.6020619,170,0
4571,15,3,8,1,597.9919376,18.22429907,55.71428571
4572,15,6,8,1,597.9919376,0,0
4573,15,2,8,1,597.9919376,15.65420561,54.57142857
4574,15,19,4,2,0,0,0
4575,15,19,21,2,0,0,0
4576,15,19,8,2,0,0,0
4577,15,19,14,2,0,0,0
4578,15,19,9,2,0,0,0
4579,15,18,4,2,0,0,0
4580,15,18,21,2,0,0,0
4581,15,18,8,2,0,0,0
4582,15,18,14,2,0,0,0
4583,15,18,9,2,0,0,0
4584,15,13,8,2,10.73119204,0,0
