IDpartita,IDgiocatore,T1ok,T1err,T2ok,T2err,T3ok,T3err,ROff,RDif,PRec,PPer,Ass,SDat,SSub,FCom,FTec,FSub,Espu,Info,Entr,Usci,Punti,Minuti,ValutazioneLega,ValutazioneOER,ValutazioneVIR
14,14,4,1,3,3,1,3,4,1,4,5,2,2,1,4,0,5,0,0,7,6,13,32.35266025,14,0.742857143,0.564113208
14,21,0,0,3,0,0,3,0,4,0,0,1,0,0,0,0,0,0,0,5,5,6,24.6708175,8,1,0.334413503
14,34,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,4,3,0,11.80825016,0,0,0.042344583
14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3.164766251,-2,0,-0.316031775
15,2,0,0,4,3,1,3,1,3,0,2,0,0,0,2,0,3,0,0,6,4,11,26.85122945,8,0.846153846,0.335180183
15,4,2,0,0,0,3,3,0,1,0,1,2,0,0,3,0,2,0,0,4,4,11,24.63474084,9,1.375,0.507413497
15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,8,3,2,4,9,0,0,2,5,2,2,0,0,0,3,0,5,0,0,6,4,11,36.83856764,9,0.628571429,0.285027369
15,9,0,0,2,1,2,5,2,0,2,1,2,0,0,2,0,0,0,0,6,3,10,36.31698356,7,0.909090909,0.330423918
15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,13,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,5.706064107,-2,0.666666667,-0.087626075
15,14,1,0,5,6,2,5,1,7,2,1,2,0,0,3,0,1,0,0,8,5,17,33.80101047,15,0.871794872,0.569509601
15,21,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,4,0,0,3,2,0,18.06905423,3,0,0.05534324
15,34,1,1,0,1,1,0,0,2,0,0,0,0,0,2,0,1,0,0,4,5,4,14.61758345,3,1.333333333,0.290745732
16,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,4,2,7.035840676,2,0.666666667,0.177661783
16,2,0,0,2,0,1,2,0,0,2,0,1,0,0,1,0,0,0,0,6,4,7,25.75359161,7,1.4,0.34946582
16,4,0,0,0,2,1,2,0,1,0,0,4,0,0,5,0,1,0,0,6,4,3,16.09696956,0,0.6,0.326148346
16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,8,3,1,6,3,1,1,2,5,1,0,0,0,0,2,1,3,0,0,6,5,18,30.16619318,22,1.384615385,0.754155483
16,9,0,0,1,2,2,2,2,3,2,0,1,0,0,2,0,0,0,0,5,5,8,22.60504385,10,1.142857143,0.586152369
16,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,6.420412152,-2,0,-0.194691551
16,14,10,1,3,5,0,2,2,2,4,1,1,3,0,2,0,6,0,0,4,5,16,23.25246421,23,0.96969697,0.989142475
16,21,0,0,1,1,1,5,1,0,1,1,0,0,0,3,0,2,0,0,4,2,5,17.71305487,-1,0.555555556,0.098797187
16,34,0,0,0,1,1,0,1,2,0,2,0,1,0,1,0,1,0,0,5,4,3,24.04423694,4,0.75,0.176757533
16,36,0,0,6,4,0,2,1,5,4,1,4,1,0,3,0,1,0,0,10,6,12,26.91219295,18,0.923076923,0.789604921
